project_id,student_id,team_id,role_in_team,tasks_completed,peer_review_score,communication_score,collaboration_score,creativity_score,project_completion_pct
PRJ001,STU001,TM_01,Leader,12,4.8,4.9,4.7,4.5,100
PRJ001,STU002,TM_01,Contributor,8,4.2,4.0,4.1,3.8,100
PRJ001,STU003,TM_01,Contributor,5,3.5,3.2,3.4,3.0,100
PRJ001,STU004,TM_01,Editor,9,4.5,4.4,4.6,4.2,100
PRJ002,STU005,TM_02,Leader,10,4.6,4.5,4.5,4.0,95
PRJ002,STU006,TM_02,Contributor,3,2.5,2.0,2.2,2.5,95
PRJ002,STU007,TM_02,Contributor,7,4.0,4.1,3.9,4.3,95
PRJ002,STU008,TM_02,Editor,6,3.8,3.7,3.6,3.9,95
PRJ003,STU009,TM_03,Leader,11,4.9,4.8,4.8,4.7,98
PRJ003,STU010,TM_03,Contributor,4,3.0,2.8,3.1,2.9,98
PRJ003,STU011,TM_03,Contributor,6,3.9,3.8,3.7,3.5,98
PRJ003,STU012,TM_03,Editor,8,4.4,4.3,4.5,4.1,98
PRJ004,STU013,TM_04,Leader,13,5.0,4.9,4.9,5.0,100
PRJ004,STU014,TM_04,Contributor,2,1.8,1.5,1.7,2.0,100
PRJ004,STU015,TM_04,Contributor,7,4.1,4.0,4.2,3.8,100
PRJ004,STU016,TM_04,Editor,8,4.3,4.2,4.4,4.0,100
PRJ005,STU017,TM_05,Leader,9,4.5,4.4,4.3,4.1,90
PRJ005,STU018,TM_05,Contributor,4,2.8,2.5,2.7,2.6,90
PRJ005,STU019,TM_05,Contributor,9,4.7,4.6,4.8,4.5,90
PRJ005,STU020,TM_05,Editor,7,4.0,3.9,4.0,3.8,90
