"student_id,subject,topic,final_mastery_score,mastery_level"
"STU001,Math,Algebra,88,advanced"
"STU002,Math,Algebra,65,intermediate"
"STU003,Math,Algebra,50,intermediate"
"STU004,Math,Calculus,95,advanced"
"STU005,Physics,Kinematics,72,intermediate"
"STU006,Physics,Kinematics,40,intermediate"
"STU007,CS,Python,82,advanced"
"STU008,CS,Python,58,intermediate"
"STU009,Math,Calculus,90,advanced"
"STU010,Math,Algebra,45,intermediate"
"STU011,Physics,Thermodynamics,68,intermediate"
"STU012,Physics,Thermodynamics,85,advanced"
"STU013,CS,Algorithms,98,advanced"
"STU014,CS,Algorithms,32,beginner"
"STU015,Math,Geometry,60,intermediate"
"STU016,Math,Geometry,76,advanced"
"STU017,Physics,Optics,63,intermediate"
"STU018,Physics,Optics,47,intermediate"
"STU019,CS,Databases,86,advanced"
"STU020,CS,Databases,70,intermediate"
